100;1999;0.011
200;6345;0.026
300;8273;0.036
400;13878;0.057
500;17726;0.074
600;23256;0.091
700;26709;0.109
800;25504;0.117
900;40341;0.155
1000;34037;0.151
1100;41878;0.176
1200;46816;0.194
1300;46825;0.205
1400;59755;0.239
1500;69214;0.270
1600;88102;0.322
1700;91589;0.347
1800;79397;0.329
1900;88761;0.342
2000;107371;0.404
2100;122362;0.444
2200;108208;0.415
2300;104851;0.406
2400;122226;0.456
2500;135529;0.499
2600;133771;0.507
2700;172448;0.600
2800;147741;0.552
2900;160823;0.590
3000;160584;0.575
