100;5016;0.015
200;20170;0.050
300;45435;0.101
400;80878;0.177
500;126450;0.268
600;182125;0.389
700;247967;0.497
800;323906;0.632
900;410005;0.801
1000;506217;0.982
1100;612554;1.179
1200;729085;1.376
1300;855734;1.676
1400;992552;1.945
1500;1139457;2.305
1600;1296535;2.617
1700;1463720;3.047
1800;1641070;3.395
1900;1828557;3.848
2000;2026075;4.308
2100;2233863;4.709
2200;2451690;5.487
2300;2679664;5.654
2400;2917736;6.040
2500;3166021;6.544
2600;3424383;7.115
2700;3692880;7.606
2800;3971450;8.079
2900;4260195;8.751
3000;4559133;9.369
