100;2753;0.316
200;7401;0.866
300;12137;1.361
400;16382;1.942
500;20729;2.402
600;25272;2.984
700;29765;3.673
800;34614;4.362
900;39530;5.057
1000;44686;5.837
1100;50074;7.050
1200;55494;7.561
1300;60449;8.304
1400;65651;8.949
1500;71187;9.955
1600;76554;11.141
1700;82021;11.623
1800;87619;13.219
1900;93712;13.664
2000;99203;14.382
2100;105266;15.271
2200;110874;15.879
2300;117170;17.006
2400;123614;17.883
2500;130120;19.115
2600;136876;20.259
2700;143154;21.035
2800;149538;21.772
2900;156369;23.571
3000;162999;23.824
